社員番号,フォロワー数,いいね数
2337203,14,69
2337005,13,21
2336909,11,55
2336800,17,47
2336503,12,4
2336404,18,69
2336305,8,77
2336206,17,77
2335902,10,53
2335704,8,39
2335605,4,7
2335506,12,3
2335407,9,71
2335209,11,3
2334707,15,81
2334608,5,63
2334509,22,58
2333908,4,1
2333809,16,69
2333700,9,13
2333601,7,0
2333502,23,64
2333304,8,3
2333205,25,88
2333106,7,2
2333007,12,61
2331706,19,88
2331607,30,177
2331508,25,67
2331409,26,116
2331300,37,81
2331201,20,77
2331102,19,79
2330907,14,0
2330808,11,59
2330709,15,82
2330600,8,49
2330501,16,80
2330402,4,3
2330204,8,3
2329901,22,0
2329802,27,16
2329703,10,0
2329604,16,8
2329505,23,0
2329406,27,0
2329307,18,0
2329208,35,64
2329000,14,0
2328904,11,0
2328805,28,37
2328706,16,5
2328607,24,0
2328508,29,0
2328409,11,10
2328300,10,6
2328201,16,0
2328003,19,39
2327907,49,34
2327808,28,0
2327600,28,0
2327501,19,0
2327402,29,32
2327303,33,1
2327204,16,16
2327105,28,0
2327006,42,35
2326900,12,0
2326801,18,10
2326702,23,18
2326603,16,1
2326504,22,0
2326405,45,17
2326306,11,0
2326207,14,10
2326009,12,0
2325903,11,0
2325804,8,0
2325705,19,10
2325606,18,6
2325507,15,0
2325408,12,6
2325309,36,74
2325200,8,0
2325101,13,0
2325002,27,16
2324906,16,0
2324807,7,0
2324708,27,57
2324609,11,0
2324500,31,10
2324401,21,16
2324302,32,0
2324203,18,0
2324104,34,6
2324005,20,0
2323909,91,285
2323800,20,9
2323701,17,9
2323602,13,8
2323503,20,10
2323404,19,34
2323305,5,0
2323206,22,20
2323107,63,7
2322902,18,1
2322704,28,0
2322605,20,3
2322506,18,6
2322407,16,0
2322308,18,0
2322209,29,0
2322100,31,12
2322001,32,3
2321905,7,0
2321806,8,0
2321707,44,30
2321608,27,4
2321400,19,12
2321301,22,39
2321202,52,51
2321103,20,12
2321004,32,11
2320908,32,9
2320809,21,10
2320700,55,84
2320601,22,0
2320502,32,26
